GOD,TITLE
ACHILLES,HERO OF THE TROJAN WAR
AGNI,GOD OF FIRE
AH MUZEN CAB,GOD OF BEES
AH PUCH,HORRIFIC GOD OF DECAY
AMATERASU,THE SHINING LIGHT
ANHUR,SLAYER OF ENEMIES
ANUBIS,GOD OF THE DEAD
AO KUANG,DRAGON KING OF THE EASTERN SEAS
APHRODITE,GODDESS OF BEAUTY
APOLLO,GOD OF MUSIC
ARACHNE,THE WEAVER
ARES,GOD OF WAR
ARTEMIS,GODDESS OF THE HUNT
ARTIO,THE BEAR GODDESS
ATHENA,GODDESS OF WISDOM
NEW GREEK GOD,ATLAS - TITAN OF THE COSMOS
AWILIX,GODDESS OF THE MOON
BABA YAGA,WITCH OF THE WOODS
BACCHUS,GOD OF WINE
BAKASURA,THE GREAT DEVOURER
BARON SAMEDI,GOD OF LIFE AND DEATH
BASTET,GODDESS OF CATS
BELLONA,GODDESS OF WAR
CABRAKAN,DESTROYER OF MOUNTAINS
CAMAZOTZ,DEADLY GOD OF BATS
CERBERUS,WARDEN OF THE UNDERWORLD
CERNUNNOS,THE HORNED GOD
CHAAC,GOD OF RAIN
CHANG'E,FAERIE OF THE MOON
CHARYBDIS,THE CEASELESS WHIRLPOOL
CHERNOBOG,LORD OF DARKNESS
CHIRON,THE GREAT TEACHER
CHRONOS,KEEPER OF TIME
CLIODHNA,QUEEN OF THE BANSHEES
CTHULHU,THE GREAT DREAMER
CU CHULAINN,HOUND OF ULSTER
CUPID,GOD OF LOVE
DA JI,THE NINE-TAILED FOX
DANZABUROU,THE LEGENDARY TANUKI
DISCORDIA,GODDESS OF STRIFE
ERLANG SHEN,THE ILLUSTRIOUS SAGE
ESET,GODDESS OF MAGIC
FAFNIR,THE LORD OF GLITTERING GOLD
FENRIR,THE UNBOUND
FREYA,QUEEN OF THE VALKYRIES
GANESHA,GOD OF SUCCESS
GEB,GOD OF EARTH
GILGAMESH,KING OF URUK
GUAN YU,SAINT OF WAR
HACHIMAN,LORD OF THE EIGHT BANNERS
HADES,KING OF THE UNDERWORLD
HE BO,GOD OF THE YELLOW RIVER
HEIMDALLR,THE VIGILANT
HEL,GODDESS OF THE UNDERWORLD
HERA,QUEEN OF THE GODS
HERCULES,CHAMPION OF ROME
HORUS,THE RIGHTFUL HEIR
HOU YI,DEFENDER OF THE EARTH
HUN BATZ,THE HOWLER MONKEY GOD
IZANAMI,MATRON OF THE DEAD
JANUS,GOD OF PORTALS AND TRANSITIONS
JING WEI,THE OATHKEEPER
JORMUNGANDR,THE WORLD SERPENT
KALI,GODDESS OF DESTRUCTION
KHEPRI,THE DAWN BRINGER
KING ARTHUR,WIELDER OF EXCALIBUR
KUKULKAN,SERPENT OF THE NINE WINDS
KUMBHAKARNA,THE SLEEPING GIANT
KUZENBO,KING KAPPA
LOKI,THE TRICKSTER GOD
MEDUSA,THE GORGON
MERCURY,MESSENGER OF THE GODS
MERLIN,THE MASTER WIZARD
MORGAN LE FAY,THE DARK ENCHANTRESS
MULAN,THE ASCENDANT WARRIOR
NE ZHA,THE THIRD LOTUS PRINCE
NEITH,WEAVER OF FATE
NEMESIS,GODDESS OF VENGEANCE
NIKE,GODDESS OF VICTORY
NOX,GODDESS OF NIGHT
NU WA,GUARDIAN OF HEAVEN
ODIN,THE ALLFATHER
OLORUN,RULER OF THE HEAVENS
OSIRIS,BROKEN GOD OF THE AFTERLIFE
PELE,GODDESS OF VOLCANOES
PERSEPHONE,QUEEN OF THE UNDERWORLD
POSEIDON,GOD OF THE OCEANS
RA,SUN GOD
RAIJIN,MASTER OF THUNDER
RAMA,SEVENTH AVATAR OF VISHNU
RATATOSKR,THE SLY MESSENGER
RAVANA,DEMON KING OF LANKA
SCYLLA,HORROR OF THE SEA
SERQET,GODDESS OF VENOM
SET,THE USURPER
SKADI,GODDESS OF WINTER
SOBEK,GOD OF THE NILE
SOL,GODDESS OF THE SUN
SUN WUKONG,THE MONKEY KING
SUSANO,GOD OF THE SUMMER STORM
SYLVANUS,KEEPER OF THE WILD
TERRA,THE EARTH MOTHER
THANATOS,HAND OF DEATH
THE MORRIGAN,PHANTOM QUEEN
THOR,GOD OF THUNDER
THOTH,ARBITER OF THE DAMNED
TIAMAT,GODDESS OF THE SALT SEA
TSUKUYOMI,GOD OF THE MOON
TYR,THE LAWGIVER
ULLR,THE GLORIOUS ONE
VAMANA,FIFTH AVATAR OF VISHNU
VULCAN,SMITH OF THE GODS
XBALANQUE,HIDDEN JAGUAR SUN
XING TIAN,THE RELENTLESS
YEMOJA,GODDESS OF RIVERS
YMIR,FATHER OF THE FROST GIANTS
ZEUS,GOD OF THE SKY
ZHONG KUI,THE DEMON QUELLER
